,Full Journal Title,Title,TITLE_UPPER,SJR,Journal Impact Factor
30993,,"2019 International Conference on Data Science and Engineering, ICDSE 2019","2019 INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ENGINEERING, ICDSE 2019",0.102,
30994,,"2019 Simulation Innovation Workshop, SIW 2019","2019 SIMULATION INNOVATION WORKSHOP, SIW 2019",0.102,
30995,,"20th International Conference on Harbor, Maritime and Multimodal Logistics Modeling and Simulation, HMS 2018","20TH INTERNATIONAL CONFERENCE ON HARBOR, MARITIME AND MULTIMODAL LOGISTICS MODELING AND SIMULATION, HMS 2018",0.102,
30996,,"20th International Conference on Intelligent Games and Simulation, GAME-ON 2019","20TH INTERNATIONAL CONFERENCE ON INTELLIGENT GAMES AND SIMULATION, GAME-ON 2019",0.102,
30997,,22nd Topical Conference on Refinery Processing 2019 - Topical Conference at the 2019 AIChE Spring Meeting and 15th Global Congress on Process Safety,22ND TOPICAL CONFERENCE ON REFINERY PROCESSING 2019 - TOPICAL CONFERENCE AT THE 2019 AICHE SPRING MEETING AND 15TH GLOBAL CONGRESS ON PROCESS SAFETY,0.102,
30998,,"22nd World Dredging Congress, WODCON 2019","22ND WORLD DREDGING CONGRESS, WODCON 2019",0.102,
30999,,"26th International Congress on Large Dams, 2018","26TH INTERNATIONAL CONGRESS ON LARGE DAMS, 2018",0.102,
31000,,2nd EAGE Borehole Geology Workshop 2017,2ND EAGE BOREHOLE GEOLOGY WORKSHOP 2017,0.102,
31001,,2nd EAGE Workshop on Deepwater Exploration in Mexico: Knowledge Transfer and Collaboration from Shelf to Deepwater,2ND EAGE WORKSHOP ON DEEPWATER EXPLORATION IN MEXICO: KNOWLEDGE TRANSFER AND COLLABORATION FROM SHELF TO DEEPWATER,0.102,
31002,,"30th European Modeling and Simulation Symposium, EMSS 2018","30TH EUROPEAN MODELING AND SIMULATION SYMPOSIUM, EMSS 2018",0.102,
31003,,"31st International Conference on Computer Applications in Industry and Engineering, CAINE 2018","31ST INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING, CAINE 2018",0.102,
31004,,35th Danubia Adria Symposium on Advances in Experimental Mechanics,35TH DANUBIA ADRIA SYMPOSIUM ON ADVANCES IN EXPERIMENTAL MECHANICS,0.102,
31005,,37th Annual Conference of the Canadian Nuclear Society and 41st Annual CNS/CNA Student Conference,37TH ANNUAL CONFERENCE OF THE CANADIAN NUCLEAR SOCIETY AND 41ST ANNUAL CNS/CNA STUDENT CONFERENCE,0.102,
31006,,"38th International Symposium on Physics in Collision, PIC 2018","38TH INTERNATIONAL SYMPOSIUM ON PHYSICS IN COLLISION, PIC 2018",0.102,
31007,,4th EAGE Workshop on Rock Physics 2017,4TH EAGE WORKSHOP ON ROCK PHYSICS 2017,0.102,
31008,,"61st Annual Meeting of the International Society for the Systems Sciences, ISSS 2017: From Science to Systemic Solutions - Systems Thinking for Everyone","61ST ANNUAL MEETING OF THE INTERNATIONAL SOCIETY FOR THE SYSTEMS SCIENCES, ISSS 2017: FROM SCIENCE TO SYSTEMIC SOLUTIONS - SYSTEMS THINKING FOR EVERYONE",0.102,
31009,,"63rd Annual Business Aviation Safety Summit, BASS 2018","63RD ANNUAL BUSINESS AVIATION SAFETY SUMMIT, BASS 2018",0.102,
31010,,"64th Annual Business Aviation Safety Summit, BASS 2019","64TH ANNUAL BUSINESS AVIATION SAFETY SUMMIT, BASS 2019",0.102,
31011,,6th Annual Safety Forum 2018: Safety Behaviors,6TH ANNUAL SAFETY FORUM 2018: SAFETY BEHAVIORS,0.102,
31012,,6th International Conference on Engineering Mechanics and Materials 2017,6TH INTERNATIONAL CONFERENCE ON ENGINEERING MECHANICS AND MATERIALS 2017,0.102,
31013,,"6th International Congress on Sustainability Science and Engineering, ICOSSE 2017","6TH INTERNATIONAL CONGRESS ON SUSTAINABILITY SCIENCE AND ENGINEERING, ICOSSE 2017",0.102,
31014,,"6th International Workshop on Innovative Simulation for Health Care, IWISH 2017, Held at the International Multidisciplinary Modeling and Simulation Multiconference, I3M 2017","6TH INTERNATIONAL WORKSHOP ON INNOVATIVE SIMULATION FOR HEALTH CARE, IWISH 2017, HELD AT THE INTERNATIONAL MULTIDISCIPLINARY MODELING AND SIMULATION MULTICONFERENCE, I3M 2017",0.102,
31015,,"72nd Annual Conference for Protective Relay Engineers, CPRE 2019","72ND ANNUAL CONFERENCE FOR PROTECTIVE RELAY ENGINEERS, CPRE 2019",0.102,
31016,,"78th Society of Exploration Geophysicists International Exposition and Annual Meeting, SEG 2008","78TH SOCIETY OF EXPLORATION GEOPHYSICISTS INTERNATIONAL EXPOSITION AND ANNUAL MEETING, SEG 2008",0.102,
31017,,"7th International Workshop on Innovative Simulation for Health Care, IWISH 2018","7TH INTERNATIONAL WORKSHOP ON INNOVATIVE SIMULATION FOR HEALTH CARE, IWISH 2018",0.102,
31018,,"8th International Workshop on Innovative Simulation for Health Care, IWISH 2019","8TH INTERNATIONAL WORKSHOP ON INNOVATIVE SIMULATION FOR HEALTH CARE, IWISH 2019",0.102,
31019,,"ACM SIGGRAPH 2017 Art Gallery, SIGGRAPH 2017","ACM SIGGRAPH 2017 ART GALLERY, SIGGRAPH 2017",0.102,
31020,,"ACM SIGGRAPH 2017 Studio, SIGGRAPH 2017","ACM SIGGRAPH 2017 STUDIO, SIGGRAPH 2017",0.102,
31021,,"ACM SIGGRAPH 2018 Educator's Forum, SIGGRAPH 2018","ACM SIGGRAPH 2018 EDUCATOR'S FORUM, SIGGRAPH 2018",0.102,
31022,,"ACM SIGGRAPH 2018 Studio, SIGGRAPH 2018","ACM SIGGRAPH 2018 STUDIO, SIGGRAPH 2018",0.102,
31023,,Acta Medica Croatica,ACTA MEDICA CROATICA,0.102,
31024,,Advances in Business Related Scientific Research Journal,ADVANCES IN BUSINESS RELATED SCIENTIFIC RESEARCH JOURNAL,0.102,
31025,,Advances in Global Leadership,ADVANCES IN GLOBAL LEADERSHIP,0.102,
31026,,AES-ATEMA International Conference Series - Advances and Trends in Engineering Materials and their Applications,AES-ATEMA INTERNATIONAL CONFERENCE SERIES - ADVANCES AND TRENDS IN ENGINEERING MATERIALS AND THEIR APPLICATIONS,0.102,
31027,,African Journal of International and Comparative Law,AFRICAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW,0.102,
31028,,Agenda,AGENDA,0.102,
31029,,Air Force Magazine,AIR FORCE MAGAZINE,0.102,
31030,,Akroterion,AKROTERION,0.102,
31031,,Alternatives Journal,ALTERNATIVES JOURNAL,0.102,
31032,,Ambitos,AMBITOS,0.102,
31033,,"American Fuel and Petrochemical Manufacturers, AFPM - AFPM Operations and Process Technology Summit 2018: Cybersecurity","AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS, AFPM - AFPM OPERATIONS AND PROCESS TECHNOLOGY SUMMIT 2018: CYBERSECURITY",0.102,
31034,,American Scholar,AMERICAN SCHOLAR,0.102,
31035,,Analecta Hibernica,ANALECTA HIBERNICA,0.102,
31036,,"Analele Universitatii din Bucuresti, Seria Stiinte Politice","ANALELE UNIVERSITATII DIN BUCURESTI, SERIA STIINTE POLITICE",0.102,
31037,,"Analele Universitatii din Craiova, Seria Filozofie","ANALELE UNIVERSITATII DIN CRAIOVA, SERIA FILOZOFIE",0.102,
31038,,Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology,ANIL AGGRAWAL'S INTERNET JOURNAL OF FORENSIC MEDICINE AND TOXICOLOGY,0.102,
31039,,Ankara Universitesi Ilahiyat Fakultesi Dergisi,ANKARA UNIVERSITESI ILAHIYAT FAKULTESI DERGISI,0.102,
31040,,Annales Academiae Medicae Gedanensis,ANNALES ACADEMIAE MEDICAE GEDANENSIS,0.102,
31041,,Annales Universitates Paedagogicae Cracoviensis. Studia ad Didacticam Mathematicae Pertinentia,ANNALES UNIVERSITATES PAEDAGOGICAE CRACOVIENSIS. STUDIA AD DIDACTICAM MATHEMATICAE PERTINENTIA,0.102,
31042,,Annali di Ca Foscari Serie Orientale,ANNALI DI CA FOSCARI SERIE ORIENTALE,0.102,
31043,,ANS IHLRWM 2017 - 16th International High-Level Radioactive Waste Management Conference: Creating a Safe and Secure Energy Future for Generations to Come - Driving Toward Long-Term Storage and Dispos,ANS IHLRWM 2017 - 16TH INTERNATIONAL HIGH-LEVEL RADIOACTIVE WASTE MANAGEMENT CONFERENCE: CREATING A SAFE AND SECURE ENERGY FUTURE FOR GENERATIONS TO COME - DRIVING TOWARD LONG-TERM STORAGE AND DISPOS,0.102,
31044,,Aperture,APERTURE,0.102,
31045,,Apocrypha,APOCRYPHA,0.102,
31046,,Appita TIME Magazine,APPITA TIME MAGAZINE,0.102,
31047,,Applications of Solids Processing Unit Operations 2018 - Topical at the 8th World Congress on Particle Technology,APPLICATIONS OF SOLIDS PROCESSING UNIT OPERATIONS 2018 - TOPICAL AT THE 8TH WORLD CONGRESS ON PARTICLE TECHNOLOGY,0.102,
31048,,Archeologie Medievale,ARCHEOLOGIE MEDIEVALE,0.102,
31049,,Archives d'Histoire Doctrinale et Litteraire du Moyen-Age,ARCHIVES D'HISTOIRE DOCTRINALE ET LITTERAIRE DU MOYEN-AGE,0.102,
31050,,Archives of Cardiovascular Diseases Supplements,ARCHIVES OF CARDIOVASCULAR DISEASES SUPPLEMENTS,0.102,
31051,,Archiv Orientalni,ARCHIV ORIENTALNI,0.102,
31052,,Archivos de Neurociencias,ARCHIVOS DE NEUROCIENCIAS,0.102,
31053,,Ars Judaica,ARS JUDAICA,0.102,
31054,,Ars Longa,ARS LONGA,0.102,
31055,,Ars Orientalis,ARS ORIENTALIS,0.102,
31056,,Artibus et Historiae,ARTIBUS ET HISTORIAE,0.102,
31057,,Art in Translation,ART IN TRANSLATION,0.102,
31058,,Asian Cinema,ASIAN CINEMA,0.102,
31059,,Asia Pacific Issues,ASIA PACIFIC ISSUES,0.102,
31060,,Asia-Pacific Journal on Human Rights and the Law,ASIA-PACIFIC JOURNAL ON HUMAN RIGHTS AND THE LAW,0.102,
31061,,"ASME 2017 Nuclear Forum, NUCLRF 2017, collocated with the ASME 2017 Power Conference Joint with ICOPE 2017, the ASME 2017 11th International Conference on Energy Sustainability, and the ASME 2017 15t","ASME 2017 NUCLEAR FORUM, NUCLRF 2017, COLLOCATED WITH THE ASME 2017 POWER CONFERENCE JOINT WITH ICOPE 2017, THE ASME 2017 11TH INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY, AND THE ASME 2017 15T",0.102,
31062,,"ASME 2019 6th International Conference on Micro/Nanoscale Heat and Mass Transfer, MNHMT 2019","ASME 2019 6TH INTERNATIONAL CONFERENCE ON MICRO/NANOSCALE HEAT AND MASS TRANSFER, MNHMT 2019",0.102,
31063,,"ASM International - International Conference on Shape Memory and Superelastic Technologies, SMST 2019","ASM INTERNATIONAL - INTERNATIONAL CONFERENCE ON SHAPE MEMORY AND SUPERELASTIC TECHNOLOGIES, SMST 2019",0.102,
31064,,Assembly,ASSEMBLY,0.102,
31065,,ATA Journal of Legal Tax Research,ATA JOURNAL OF LEGAL TAX RESEARCH,0.102,
31066,,Atemwegs- und Lungenkrankheiten,ATEMWEGS- UND LUNGENKRANKHEITEN,0.102,
31067,,Atene e Roma,ATENE E ROMA,0.102,
31068,,"Atti della Pontificia Accademia Romana di Archeologia: Serie III, Rendiconti","ATTI DELLA PONTIFICIA ACCADEMIA ROMANA DI ARCHEOLOGIA: SERIE III, RENDICONTI",0.102,
31069,,Aurora,AURORA,0.102,
31070,,Ausa,AUSA,0.102,
31071,,Australasian historical archaeology : journal of the Australasian Society for Historical Archaeology,AUSTRALASIAN HISTORICAL ARCHAEOLOGY : JOURNAL OF THE AUSTRALASIAN SOCIETY FOR HISTORICAL ARCHAEOLOGY,0.102,
31072,,Azafea,AZAFEA,0.102,
31073,,Balkan Studies Library,BALKAN STUDIES LIBRARY,0.102,
31074,,Baltic Journal of Art History,BALTIC JOURNAL OF ART HISTORY,0.102,
31075,,Batalleria,BATALLERIA,0.102,
31076,,"Battery Chemistries for Automotive Applications 2017, Held at AABC 2017","BATTERY CHEMISTRIES FOR AUTOMOTIVE APPLICATIONS 2017, HELD AT AABC 2017",0.102,
31077,,"Battery Chemistries for Automotive Applications 2018, Held at AABC 2018","BATTERY CHEMISTRIES FOR AUTOMOTIVE APPLICATIONS 2018, HELD AT AABC 2018",0.102,
31078,,"Battery Chemistries for Automotive Applications 2019, Held at AABC 2019","BATTERY CHEMISTRIES FOR AUTOMOTIVE APPLICATIONS 2019, HELD AT AABC 2019",0.102,
31079,,Bealoideas,BEALOIDEAS,0.102,
31080,,Biblical Archaeology Review,BIBLICAL ARCHAEOLOGY REVIEW,0.102,
31081,,Biblos,BIBLOS,0.102,
31082,,Big Data Analytics 2017 - Topical Conference at the 2017 AIChE Spring Meeting and 13th Global Congress on Process Safety,BIG DATA ANALYTICS 2017 - TOPICAL CONFERENCE AT THE 2017 AICHE SPRING MEETING AND 13TH GLOBAL CONGRESS ON PROCESS SAFETY,0.102,
31083,,Bioarchaeology of the Near East,BIOARCHAEOLOGY OF THE NEAR EAST,0.102,
31084,,Bogazici Journal,BOGAZICI JOURNAL,0.102,
31085,,Boletim de Estudos Classicos,BOLETIM DE ESTUDOS CLASSICOS,0.102,
31086,,Bollettino di Archeologia,BOLLETTINO DI ARCHEOLOGIA,0.102,
31087,Bollettino di Storia delle Scienze Matematiche,Bollettino di Storia delle Scienze Matematiche,BOLLETTINO DI STORIA DELLE SCIENZE MATEMATICHE,0.102,0.313
31088,,Book History,BOOK HISTORY,0.102,
31089,,Brill's Series in Church History,BRILL'S SERIES IN CHURCH HISTORY,0.102,
31090,,British Plastics and Rubber,BRITISH PLASTICS AND RUBBER,0.102,
31091,,BSAA Arte,BSAA ARTE,0.102,
31092,,Buddhist-Christian Studies,BUDDHIST-CHRISTIAN STUDIES,0.102,
31093,,Bulk Solids Handling,BULK SOLIDS HANDLING,0.102,
31094,,Bulletin of Pharmaceutical Sciences,BULLETIN OF PHARMACEUTICAL SCIENCES,0.102,
31095,,Bulletin of the Institute of History and Philology Academia Sinica,BULLETIN OF THE INSTITUTE OF HISTORY AND PHILOLOGY ACADEMIA SINICA,0.102,
31096,,Bulletin of the International Dairy Federation,BULLETIN OF THE INTERNATIONAL DAIRY FEDERATION,0.102,
31097,,Bulletin suisse de linguistique appliquee,BULLETIN SUISSE DE LINGUISTIQUE APPLIQUEE,0.102,
31098,,Byzantinoslavica,BYZANTINOSLAVICA,0.102,
31099,,Cadernos de Estudos Africanos,CADERNOS DE ESTUDOS AFRICANOS,0.102,
31100,,Camera Obscura,CAMERA OBSCURA,0.102,
31101,,Canadian Journal of Native Studies,CANADIAN JOURNAL OF NATIVE STUDIES,0.102,
31102,,Cancer Research and Clinic,CANCER RESEARCH AND CLINIC,0.102,
31103,,Casopis Matice moravske (1968),CASOPIS MATICE MORAVSKE (1968),0.102,
31104,,Catalysis and Reaction Engineering Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting,CATALYSIS AND REACTION ENGINEERING DIVISION 2018 - CORE PROGRAMMING AREA AT THE 2018 AICHE ANNUAL MEETING,0.102,
31105,,CEA Critic,CEA CRITIC,0.102,
31106,,Cercles,CERCLES,0.102,
31107,,Cesky Casopis Historicky,CESKY CASOPIS HISTORICKY,0.102,
31108,,CHAOS 2017 - Proceedings: 10th Chaotic Modeling and Simulation International Conference,CHAOS 2017 - PROCEEDINGS: 10TH CHAOTIC MODELING AND SIMULATION INTERNATIONAL CONFERENCE,0.102,
31109,,Chemical Fibers International,CHEMICAL FIBERS INTERNATIONAL,0.102,
31110,,Chiba Medical Journal,CHIBA MEDICAL JOURNAL,0.102,
31111,,CHIRA 2019 - Proceedings of the 3rd International Conference on Computer-Human Interaction Research and Applications,CHIRA 2019 - PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION RESEARCH AND APPLICATIONS,0.102,
31112,,Cinemas d'Amerique Latine,CINEMAS D'AMERIQUE LATINE,0.102,
31113,,"CISCI 2017 - Decima Sexta Conferencia Iberoamericana en Sistemas, Cibernetica e Informatica, Decimo Cuarto Simposium Iberoamericano en Educacion, Cibernetica e Informatica, SIECI 2017 - Memorias","CISCI 2017 - DECIMA SEXTA CONFERENCIA IBEROAMERICANA EN SISTEMAS, CIBERNETICA E INFORMATICA, DECIMO CUARTO SIMPOSIUM IBEROAMERICANO EN EDUCACION, CIBERNETICA E INFORMATICA, SIECI 2017 - MEMORIAS",0.102,
31114,,"CISCI 2018 - Decima Septima Conferencia Iberoamericana en Sistemas, Cibernetica e Informatica, Decimo Quinto Simposium Iberoamericano en Educacion, Cibernetica e Informatica, SIECI 2018 - Memorias","CISCI 2018 - DECIMA SEPTIMA CONFERENCIA IBEROAMERICANA EN SISTEMAS, CIBERNETICA E INFORMATICA, DECIMO QUINTO SIMPOSIUM IBEROAMERICANO EN EDUCACION, CIBERNETICA E INFORMATICA, SIECI 2018 - MEMORIAS",0.102,
31115,,Citta e Storia,CITTA E STORIA,0.102,
31116,,Clothing Cultures,CLOTHING CULTURES,0.102,
31117,,Communication and Management,COMMUNICATION AND MANAGEMENT,0.102,
31118,,"Communication, Electromagnetics and Medical Application","COMMUNICATION, ELECTROMAGNETICS AND MEDICAL APPLICATION",0.102,
31119,,Comparative American Studies,COMPARATIVE AMERICAN STUDIES,0.102,
31120,,Comparative Law Review,COMPARATIVE LAW REVIEW,0.102,
31121,,Computational Methods in Applied Sciences,COMPUTATIONAL METHODS IN APPLIED SCIENCES,0.102,
31122,,Computer Graphics World,COMPUTER GRAPHICS WORLD,0.102,
31123,,Congress on Technical Advancement 2017: Construction and Forensic Engineering - Papers from Sessions of the 1st Congress on Technical Advancement,CONGRESS ON TECHNICAL ADVANCEMENT 2017: CONSTRUCTION AND FORENSIC ENGINEERING - PAPERS FROM SESSIONS OF THE 1ST CONGRESS ON TECHNICAL ADVANCEMENT,0.102,
31124,,CoNLL 2018 - Proceedings of the CoNLL-SIGMORPHON 2018 Shared Task: Universal Morphological Reinflection,CONLL 2018 - PROCEEDINGS OF THE CONLL-SIGMORPHON 2018 SHARED TASK: UNIVERSAL MORPHOLOGICAL REINFLECTION,0.102,
31125,,Contemporary French and Francophone Studies,CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,0.102,
31126,,Contemporary Perspectives in Family Research,CONTEMPORARY PERSPECTIVES IN FAMILY RESEARCH,0.102,
31127,,Control,CONTROL,0.102,
31128,,Convivium,CONVIVIUM,0.102,
31129,,Corrosion Management,CORROSION MANAGEMENT,0.102,
31130,,Critical Studies in Men's Fashion,CRITICAL STUDIES IN MEN'S FASHION,0.102,
31131,,"CS MANTECH 2019 - 2019 International Conference on Compound Semiconductor Manufacturing Technology, Digest of Papers","CS MANTECH 2019 - 2019 INTERNATIONAL CONFERENCE ON COMPOUND SEMICONDUCTOR MANUFACTURING TECHNOLOGY, DIGEST OF PAPERS",0.102,
31132,,Culture and History of the Ancient Near East,CULTURE AND HISTORY OF THE ANCIENT NEAR EAST,0.102,
31133,,Danubius,DANUBIUS,0.102,
31134,,De Medio Aevo,DE MEDIO AEVO,0.102,
31135,,DNA Reporter,DNA REPORTER,0.102,
31136,,Doxa. Cuadernos de Filosofia del Derecho,DOXA. CUADERNOS DE FILOSOFIA DEL DERECHO,0.102,
31137,,Dress,DRESS,0.102,
31138,,Drug Development and Delivery,DRUG DEVELOPMENT AND DELIVERY,0.102,
31139,,Dubrovnik Annals,DUBROVNIK ANNALS,0.102,
31140,,Durkheimian Studies/Etudes durkheimiennes,DURKHEIMIAN STUDIES/ETUDES DURKHEIMIENNES,0.102,
31141,,Dynamic Relationships Management Journal,DYNAMIC RELATIONSHIPS MANAGEMENT JOURNAL,0.102,
31142,,EAI International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities (TRIDENTCOM),EAI INTERNATIONAL CONFERENCE ON TESTBEDS AND RESEARCH INFRASTRUCTURES FOR THE DEVELOPMENT OF NETWORKS AND COMMUNITIES (TRIDENTCOM),0.102,
31143,,East African Medical Journal,EAST AFRICAN MEDICAL JOURNAL,0.102,
31144,,East European Jewish Affairs,EAST EUROPEAN JEWISH AFFAIRS,0.102,
31145,,Ecclesia Orans,ECCLESIA ORANS,0.102,
31146,,Ecclesiastical Law Journal,ECCLESIASTICAL LAW JOURNAL,0.102,
31147,ECONTENT,EContent,ECONTENT,0.102,0.167
31148,,Education and Culture,EDUCATION AND CULTURE,0.102,
31149,,EE: Evaluation Engineering,EE: EVALUATION ENGINEERING,0.102,
31150,,Eidos,EIDOS,0.102,
31151,,Ekonomiska Samfundets Tidskrift,EKONOMISKA SAMFUNDETS TIDSKRIFT,0.102,
31152,,Emakeele Seltsi Aastaraamat,EMAKEELE SELTSI AASTARAAMAT,0.102,
31153,,Encounters in Theory and History of Education,ENCOUNTERS IN THEORY AND HISTORY OF EDUCATION,0.102,
31154,,Eos (Poland),EOS (POLAND),0.102,
31155,,Estudios Migratorios Latinoamericanos,ESTUDIOS MIGRATORIOS LATINOAMERICANOS,0.102,
31156,,Estudos de Literatura Brasileira Contemporanea,ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORANEA,0.102,
31157,,Etudes Rurales,ETUDES RURALES,0.102,
31158,,"EUROCORR 2017 - The Annual Congress of the European Federation of Corrosion, 20th International Corrosion Congress and Process Safety Congress 2017","EUROCORR 2017 - THE ANNUAL CONGRESS OF THE EUROPEAN FEDERATION OF CORROSION, 20TH INTERNATIONAL CORROSION CONGRESS AND PROCESS SAFETY CONGRESS 2017",0.102,
31159,,"European Corrosion Congress, EUROCORR 2018","EUROPEAN CORROSION CONGRESS, EUROCORR 2018",0.102,
31160,,Evidence-Based Practice,EVIDENCE-BASED PRACTICE,0.102,
31161,,"EV Technology for Specialty Transportation 2018, Held at AABC 2018","EV TECHNOLOGY FOR SPECIALTY TRANSPORTATION 2018, HELD AT AABC 2018",0.102,
31162,,"EV Technology for Specialty Transportation 2019, Held at AABC 2019","EV TECHNOLOGY FOR SPECIALTY TRANSPORTATION 2019, HELD AT AABC 2019",0.102,
31163,,"Experimental Stress Analysis - 56th International Scientific Conference, EAN 2018 - Conference Proceedings","EXPERIMENTAL STRESS ANALYSIS - 56TH INTERNATIONAL SCIENTIFIC CONFERENCE, EAN 2018 - CONFERENCE PROCEEDINGS",0.102,
31164,,Fabrications,FABRICATIONS,0.102,
31165,,Fachsprache,FACHSPRACHE,0.102,
31166,,"FARM 2019 - Proceedings of the 7th ACM SIGPLAN International Workshop on Functional Art, Music, Modeling, and Design, co-located with ICFP 2019","FARM 2019 - PROCEEDINGS OF THE 7TH ACM SIGPLAN INTERNATIONAL WORKSHOP ON FUNCTIONAL ART, MUSIC, MODELING, AND DESIGN, CO-LOCATED WITH ICFP 2019",0.102,
31167,,Fiber Society 2017 Spring Conference: Next Generation Fibers for Smart Products,FIBER SOCIETY 2017 SPRING CONFERENCE: NEXT GENERATION FIBERS FOR SMART PRODUCTS,0.102,
31168,,Film Comment,FILM COMMENT,0.102,
31169,,Folk Music Journal,FOLK MUSIC JOURNAL,0.102,
31170,,"Food, Pharmaceutical and Bioengineering Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting","FOOD, PHARMACEUTICAL AND BIOENGINEERING DIVISION 2018 - CORE PROGRAMMING AREA AT THE 2018 AICHE ANNUAL MEETING",0.102,
31171,,Forma y Funcion,FORMA Y FUNCION,0.102,
31172,,Forum Modernes Theater,FORUM MODERNES THEATER,0.102,
31173,,FORUM (Netherlands),FORUM (NETHERLANDS),0.102,
31174,,Forum of Clinical Oncology,FORUM OF CLINICAL ONCOLOGY,0.102,
31175,,Frontiers of History in China,FRONTIERS OF HISTORY IN CHINA,0.102,
31176,,Fuels and Petrochemicals Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting,FUELS AND PETROCHEMICALS DIVISION 2018 - CORE PROGRAMMING AREA AT THE 2018 AICHE ANNUAL MEETING,0.102,
31177,,Gaceta Medica de Bilbao,GACETA MEDICA DE BILBAO,0.102,
31178,,Gastroenterology Insights,GASTROENTEROLOGY INSIGHTS,0.102,
31179,,Genocide Studies International,GENOCIDE STUDIES INTERNATIONAL,0.102,
31180,,Geo-Regards,GEO-REGARDS,0.102,
31181,,Geotermia,GEOTERMIA,0.102,
31182,,German Monitor,GERMAN MONITOR,0.102,
31183,,"Global Battery Raw Materials 2018, Held at AABC 2018","GLOBAL BATTERY RAW MATERIALS 2018, HELD AT AABC 2018",0.102,
31184,,"Global Battery Raw Materials 2019, Held at AABC 2019","GLOBAL BATTERY RAW MATERIALS 2019, HELD AT AABC 2019",0.102,
31185,,GPA Midstream Convention 2018,GPA MIDSTREAM CONVENTION 2018,0.102,
31186,,Greek Review of Social Research,GREEK REVIEW OF SOCIAL RESEARCH,0.102,
31187,,Gynakologische Praxis,GYNAKOLOGISCHE PRAXIS,0.102,
31188,,Handling and Processing of Granular Systems 2018 - Topical at the 8th World Congress on Particle Technology,HANDLING AND PROCESSING OF GRANULAR SYSTEMS 2018 - TOPICAL AT THE 8TH WORLD CONGRESS ON PARTICLE TECHNOLOGY,0.102,
31189,,Health and Social Care Chaplaincy,HEALTH AND SOCIAL CARE CHAPLAINCY,0.102,
31190,,Heart and Metabolism,HEART AND METABOLISM,0.102,
31191,,Hecheng Shuzhi Ji Suliao/China Synthetic Resin and Plastics,HECHENG SHUZHI JI SULIAO/CHINA SYNTHETIC RESIN AND PLASTICS,0.102,
31192,,Histoire des Alpes - Storia delle Alpi - Geschichte der Alpen,HISTOIRE DES ALPES - STORIA DELLE ALPI - GESCHICHTE DER ALPEN,0.102,
31193,,Historein,HISTOREIN,0.102,
31194,,"Historia, Instituciones, Documentos","HISTORIA, INSTITUCIONES, DOCUMENTOS",0.102,
31195,,Historian,HISTORIAN,0.102,
31196,,History of Retailing and Consumption,HISTORY OF RETAILING AND CONSUMPTION,0.102,
31197,,History Today,HISTORY TODAY,0.102,
31198,,"IABSE Conference, Bath 2017: Creativity and Collaboration - Report","IABSE CONFERENCE, BATH 2017: CREATIVITY AND COLLABORATION - REPORT",0.102,
31199,,"ICCE 2017 - 25th International Conference on Computers in Education: Technology and Innovation: Computer-Based Educational Systems for the 21st Century, Extended Summary Proceedings","ICCE 2017 - 25TH INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION: TECHNOLOGY AND INNOVATION: COMPUTER-BASED EDUCATIONAL SYSTEMS FOR THE 21ST CENTURY, EXTENDED SUMMARY PROCEEDINGS",0.102,
31200,,"ICCE 2018 - 26th International Conference on Computers in Education, Work-in-Progress Poster Proceedings","ICCE 2018 - 26TH INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION, WORK-IN-PROGRESS POSTER PROCEEDINGS",0.102,
31201,,ICF 2017 - 14th International Conference on Fracture,ICF 2017 - 14TH INTERNATIONAL CONFERENCE ON FRACTURE,0.102,
31202,,ICMC 2018 - Proceedings of the 2018 International Computer Music Conference,ICMC 2018 - PROCEEDINGS OF THE 2018 INTERNATIONAL COMPUTER MUSIC CONFERENCE,0.102,
31203,,ICREPEC 2017 - Proceedings of the 6th International Conference on Reliability of Electrical Products and Electrical Contacts,ICREPEC 2017 - PROCEEDINGS OF THE 6TH INTERNATIONAL CONFERENCE ON RELIABILITY OF ELECTRICAL PRODUCTS AND ELECTRICAL CONTACTS,0.102,
31204,,IHM 2018 - Actes de la 30ieme Conference Francophone sur l''Interaction Homme-Machine,IHM 2018 - ACTES DE LA 30IEME CONFERENCE FRANCOPHONE SUR L''INTERACTION HOMME-MACHINE,0.102,
